frame_index,track_id,class_name,bbox0,bbox1,bbox2,bbox3
57,11,car,436,176,485,214
57,16,car,361,176,388,195
57,34,car,409,179,447,207
57,42,car,317,177,334,190
57,55,person,217,168,236,208
57,56,car,704,178,782,218
57,57,car,170,174,203,200
57,62,car,273,174,293,188
57,73,person,224,190,236,211
57,90,car,296,173,317,187
57,92,car,348,176,368,193
57,94,person,245,169,265,211
57,98,car,328,177,350,192
58,3,car,639,180,707,209
58,16,car,361,176,387,194
58,34,car,402,179,443,208
58,42,car,316,176,335,190
58,55,person,219,167,238,209
58,56,car,703,179,781,217
58,57,car,170,174,203,200
58,62,car,274,174,292,187
58,73,person,226,191,237,211
58,90,car,296,173,318,187
58,92,car,348,176,368,193
58,94,person,248,168,268,212
58,98,car,328,177,349,192
59,16,car,360,176,386,194
59,34,car,412,180,446,204
59,42,car,315,176,335,190
59,55,person,221,166,241,211
59,57,car,170,174,203,200
59,62,car,275,174,292,186
59,73,person,227,191,239,212
59,90,car,296,173,317,187
59,92,car,349,176,369,193
59,94,person,250,167,272,213
59,98,car,328,177,349,192
60,1,car,204,173,217,184
60,3,car,638,179,709,210
60,16,car,362,176,396,199
60,22,car,407,180,450,202
60,25,car,697,178,831,219
60,34,car,416,180,450,204
60,42,car,314,176,335,191
60,55,person,224,166,245,211
60,57,car,169,174,203,201
60,62,car,273,174,289,186
60,73,person,228,192,239,213
60,90,car,295,172,317,187
60,92,car,347,176,367,193
60,94,person,256,166,277,214
60,98,car,329,177,351,192
61,1,car,204,173,217,184
61,3,car,638,179,708,210
61,11,car,454,164,524,216
61,16,car,362,176,397,200
61,22,car,409,180,449,202
61,25,car,689,178,817,218
61,42,car,314,175,335,191
61,55,person,230,166,251,213
61,57,car,169,174,203,201
61,90,car,296,172,317,187
61,92,car,349,177,373,196
61,94,person,257,166,279,215
61,98,car,329,177,351,192
62,3,car,638,179,708,211
62,11,car,455,163,526,216
62,22,car,410,180,448,202
62,25,car,688,178,812,218
62,42,car,314,175,335,191
62,55,person,232,165,254,214
62,57,car,169,175,203,201
62,90,car,296,172,317,187
62,92,car,350,178,376,198
62,94,person,265,163,289,216
